Platform,Handle,Content_Type,Title_Caption,URL,Content_ID,Upload_Date,Views,Likes,Tournament,Accreditation_Status,Content_Format,Featured_Entities,Featured_On_Portfolio
Instagram,@abhishekpandey_26,Reel,Table topper Gujarat Titans!,https://www.instagram.com/reel/DYQOCiysdD0/,DYQOCiysdD0,March – May 2026,512500,41000,IPL 2026,Independent Fan Coverage,Match Reaction & Points Table,Gujarat Titans (GT),Yes
Instagram,@abhishekpandey_26,Reel,"Episode 2 : Story Behind the Post ft - @vanshbedi_ . . . . . #vanshbedi #dpl2026 #delhipremierleague #centraldelhikings . . . . ( Dpl , Delhi Premier league , Dpl Season 3 , Vansh ",https://www.instagram.com/reel/DcOV2DtBXIL/,DcOV2DtBXIL,2026,512000,41000,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Story Behind the Post (Player Interview),"Vansh Bedi, Central Delhi Kings",Yes
YouTube,@spinandswing26,Short,Guess the Gt  Players Jersey number !,https://www.youtube.com/shorts/3Pith2RxQzo,3Pith2RxQzo,,473000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Who is the Captain of RCB ?,https://www.youtube.com/shorts/zDfZIgDBGHE,zDfZIgDBGHE,,408000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Royal Challengers Bengaluru (RCB),No
YouTube,@spinandswing26,Short,Guess the Jersey number - Pt 3,https://www.youtube.com/shorts/4xJrtMA8dRM,4xJrtMA8dRM,,353000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of Gujarat titans !!,https://www.youtube.com/shorts/hEDy_01p90k,hEDy_01p90k,,350000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
Instagram,@abhishekpandey_26,Reel,There will be one change (Match Analysis),https://www.instagram.com/reel/DVlsJKSjJTH/,DVlsJKSjJTH,February – May 2026,350000,28000,ICC Men's T20 World Cup 2026,Commercial Partner (My11Circle),Tactical & Match Analysis,Team India,Yes
YouTube,@spinandswing26,Short,Guess the Squad of Rcb !,https://www.youtube.com/shorts/dPwUZqMXW6M,dPwUZqMXW6M,,292000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Royal Challengers Bengaluru (RCB),No
YouTube,@spinandswing26,Short,Gujarat Titans Squad !!,https://www.youtube.com/shorts/FOh9liHO8cM,FOh9liHO8cM,,279000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Guess the Csk Player ! | Spin & Swing,https://www.youtube.com/shorts/byDphHuiD50,byDphHuiD50,,274000,0,IPL 2026,Creator Studio / Digital Production,Short-form Cricket Content,Chennai Super Kings (CSK),No
YouTube,@spinandswing26,Short,Guess the Squad of Gt,https://www.youtube.com/shorts/xxq7ZsywBKo,xxq7ZsywBKo,,272000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,India Squad vs New Zealand - Pt- 4,https://www.youtube.com/shorts/Y3AR-uqlmoo,Y3AR-uqlmoo,,249000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,Episode 4 : Story Behind the Post ft. Himmat Singh,https://www.instagram.com/reel/DcdlCohB4qZ/,DcdlCohB4qZ,August – September 2026,237500,19000,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Story Behind the Post (Player Interview),"Himmat Singh, Delhi Premier League (DPL)",Yes
YouTube,@spinandswing26,Short,Guess the Squad of Indian team Pt - 2,https://www.youtube.com/shorts/aLzViKNysEQ,aLzViKNysEQ,,235000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,Guess the Player !! | Spin & Swing (RCB),https://www.instagram.com/reel/DKMMtRnIzAE/,DKMMtRnIzAE,March – May 2025,210000,17000,IPL 2025,Independent Fan Coverage,Cricket Trivia & Player Guessing,Royal Challengers Bengaluru (RCB),Yes
YouTube,@spinandswing26,Short,Guess the squad of Gt !!,https://www.youtube.com/shorts/mYVUtro_6Hk,mYVUtro_6Hk,,209000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Which IPL team do you dislike the most ?,https://www.youtube.com/shorts/KwTh3alu9E4,KwTh3alu9E4,,202000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Jersey Number - Pt 3,https://www.youtube.com/shorts/tiJvqarhOzw,tiJvqarhOzw,,191000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,What is Virat Jersey number ?,https://www.youtube.com/shorts/MWGLNesJZKA,MWGLNesJZKA,,169000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,Guess the Player !! | Spin & Swing (RCB),https://www.instagram.com/reel/DJTjMYSSL4B/,DJTjMYSSL4B,March – May 2025,165000,13000,IPL 2025,Independent Fan Coverage,Cricket Trivia & Player Guessing,Royal Challengers Bengaluru (RCB),Yes
YouTube,@spinandswing26,Short,Guess the Giants | Spin & Swing,https://www.youtube.com/shorts/R8s9a8tFMEI,R8s9a8tFMEI,,157000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the squad of Gujarat titans !,https://www.youtube.com/shorts/aPbaG1EgVMg,aPbaG1EgVMg,,149000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Guess the Jersey Number of India vs Afghanistan,https://www.youtube.com/shorts/mGxpuc5FHUs,mGxpuc5FHUs,,143000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,Harmanpreet Fan is cuteee 🎀 (WPL),https://www.instagram.com/reel/DT2m9vACEU8/,DT2m9vACEU8,January – February 2026,137500,11000,WPL 2026,Independent Fan Coverage,Fan Vox Pop & Reaction,"Harmanpreet Kaur, WPL",Yes
YouTube,@spinandswing26,Short,Mi fan vs Csk fan,https://www.youtube.com/shorts/Mv0rvveoBIQ,Mv0rvveoBIQ,,136000,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,"Mumbai Indians (MI), Chennai Super Kings (CSK)",No
YouTube,@spinandswing26,Short,Guess the Squad of RCB,https://www.youtube.com/shorts/DrJGUhfOjSo,DrJGUhfOjSo,,130000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Royal Challengers Bengaluru (RCB),No
Instagram,@abhishekpandey_26,Reel,"Episode 6 : Story Behind the Post ft - @anujrawat_1755 @ar__unfiltered . . . . #puranidilli #delhipremierleague #dpl2026 #anujrawat #gujarattitans . . ( Purani Dilli , Dpl , Dpl 20",https://www.instagram.com/reel/DclYxOiBsuy/,DclYxOiBsuy,2026,123643,9888,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Story Behind the Post (Player Interview),"Anuj Rawat, Purani Dilli, Gujarat Titans (GT)",Yes
YouTube,@spinandswing26,Short,Guess the Squad of T20 World Cup - Pt 19,https://www.youtube.com/shorts/HIB44fvxh34,HIB44fvxh34,,122000,0,ICC Men's T20 World Cup 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,"Captain leading from the front @tejasvi._.18 . . . . . #dpl #delhipremierleague #dplseason3 #tejasvidhaiya #southdelhisuperstarz . . ( South delhi superstarz , tejasvi dhaiya , Dpl",https://www.instagram.com/reel/Dcs1bhEoeTf/,Dcs1bhEoeTf,2026,119938,8889,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Matchday Highlights & Captain Profile,"Tejasvi Dahiya, South Delhi Superstarz",No
YouTube,@spinandswing26,Short,Mumbai fan vs Mumbai fan @gujarattitans,https://www.youtube.com/shorts/bky4OEuA2Gg,bky4OEuA2Gg,,117000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,Spin & Swing,No
YouTube,@spinandswing26,Short,Rcb fan vs Srh fan,https://www.youtube.com/shorts/BkzR1q1NcRI,BkzR1q1NcRI,,110000,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,"Royal Challengers Bengaluru (RCB), Sunrisers Hyderabad (SRH)",No
YouTube,@spinandswing26,Short,Guess the Jersey Number ?,https://www.youtube.com/shorts/Peqsv8yInMc,Peqsv8yInMc,,100000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Jersey number - Pt 4,https://www.youtube.com/shorts/kj--6Khrli4,kj--6Khrli4,,95000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,What is the full form of LBW ? (Vox Pop),https://www.instagram.com/reel/DUINPzWkrlj/,DUINPzWkrlj,January – February 2026,92000,6800,WPL 2026,Independent Fan Coverage,Cricket Trivia & Vox Pop,WPL,Yes
YouTube,@spinandswing26,Short,Can you name 7 Indian fast bowlers ?,https://www.youtube.com/shorts/bT8bAFEKDso,bT8bAFEKDso,,90000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Cute Harmanpreet Fan 🎀💗,https://www.youtube.com/shorts/cqbxa90lJP8,cqbxa90lJP8,,86000,0,WPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,Harmanpreet Kaur,No
Instagram,@abhishekpandey_26,Reel,Pakistan ka naam he mat lo !!,https://www.instagram.com/reel/DUvn-h4kkCU/,DUvn-h4kkCU,February – May 2026,86000,6200,ICC Men's T20 World Cup 2026,Commercial Partner (My11Circle),Fan Reaction & Banter,India vs Pakistan,Yes
Instagram,@abhishekpandey_26,Reel,Final Calling babyyyy (IPL 2026 Final),https://www.instagram.com/reel/DY8nQzKhspB/,DY8nQzKhspB,March – May 2026,85000,6400,IPL 2026,Independent Fan Coverage,Stadium Fan Vlog,IPL Final,Yes
YouTube,@spinandswing26,Short,Tum kisko lagoge ?,https://www.youtube.com/shorts/7dL1TlM-l7g,7dL1TlM-l7g,,83000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Impact Player for Srh !!,https://www.youtube.com/shorts/SyupmWVwFFk,SyupmWVwFFk,,79000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Sunrisers Hyderabad (SRH),No
Instagram,@abhishekpandey_26,Reel,Ab kya bolu mai ??? (Fan Reaction),https://www.instagram.com/reel/DT8FW8_iAc5/,DT8FW8_iAc5,January – February 2026,78000,5400,WPL 2026,Independent Fan Coverage,Fan Vox Pop & Reaction,WPL Fan Community,Yes
Instagram,@abhishekpandey_26,Reel,Sanju ne badhiya khela (Post-Match Reaction),https://www.instagram.com/reel/DVv1RPMkl4T/,DVv1RPMkl4T,February – May 2026,74000,5600,ICC Men's T20 World Cup 2026,Commercial Partner (My11Circle),Player Performance Review,"Sanju Samson, Team India",Yes
YouTube,@spinandswing26,Short,Guess the Jersey number – Pt 10,https://www.youtube.com/shorts/kI0I3eCKYeg,kI0I3eCKYeg,,72000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,Bhai Aus toh Super 8 me he nhi aa payi,https://www.instagram.com/reel/DVRDbLVCqmy/,DVRDbLVCqmy,February – May 2026,68000,4800,ICC Men's T20 World Cup 2026,Commercial Partner (My11Circle),Tournament Analysis,"Australia, Super 8",Yes
YouTube,@spinandswing26,Short,Guess the squad of Gujarat titans !,https://www.youtube.com/shorts/CtIgRrKHsak,CtIgRrKHsak,,67000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
Instagram,@abhishekpandey_26,Reel,What is RCB Slogan ?? (Fan Trivia),https://www.instagram.com/reel/DUSSdE6EhS8/,DUSSdE6EhS8,January – February 2026,64000,4900,WPL 2026,Independent Fan Coverage,Cricket Trivia & Fan Quiz,Royal Challengers Bengaluru (RCB),Yes
Instagram,@abhishekpandey_26,Reel,8-3 Rivalry ?? (Matchday Banter),https://www.instagram.com/reel/DY7rG2Jhmdh/,DY7rG2Jhmdh,March – May 2026,62000,4500,IPL 2026,Independent Fan Coverage,Matchday Banter & Rivalry Vox Pop,IPL Rivalry,Yes
YouTube,@spinandswing26,Short,Guess the Squad of Rcb !!,https://www.youtube.com/shorts/vJlPYCV7Upc,vJlPYCV7Upc,,59000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Royal Challengers Bengaluru (RCB),No
YouTube,@spinandswing26,Short,Guess the squad of T20 World Cup ? #t20worldcup #indiansquad,https://www.youtube.com/shorts/UUmhRjKozLM,UUmhRjKozLM,,59000,0,ICC Men's T20 World Cup 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,Do you Support RCB because of Virat ?,https://www.youtube.com/shorts/iQ42Iq51t9Y,iQ42Iq51t9Y,,58000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Royal Challengers Bengaluru (RCB),No
YouTube,@spinandswing26,Short,Csk fan vs Csk fan - Part 3 Spin & Swing,https://www.youtube.com/shorts/olAjZKvuSWs,olAjZKvuSWs,,58000,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,Chennai Super Kings (CSK),No
YouTube,@spinandswing26,Short,Guess the Squad of WPL– Pt 8,https://www.youtube.com/shorts/tY7WxVp4CMk,tY7WxVp4CMk,,53000,0,WPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,Jassi bhai to sabke Favourite hai !,https://www.youtube.com/shorts/nf0cFxmJ-pU,nf0cFxmJ-pU,,52000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Players | Kkr fan vs Kkr fan - Pt 2,https://www.youtube.com/shorts/2jnFjrH4ACc,2jnFjrH4ACc,,52000,0,IPL 2026,Creator Studio / Digital Production,Fan Vox Pop & Stadium Reaction,Kolkata Knight Riders (KKR),No
YouTube,@spinandswing26,Short,Guess the Csk Players | Spin & Swing,https://www.youtube.com/shorts/AMSWC_cFka8,AMSWC_cFka8,,51000,0,IPL 2026,Creator Studio / Digital Production,Short-form Cricket Content,Chennai Super Kings (CSK),No
YouTube,@spinandswing26,Short,Guess the Jersey number !,https://www.youtube.com/shorts/hycH60HsV04,hycH60HsV04,,50000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Which team in IPL history has Played the most finals ??,https://www.youtube.com/shorts/HBWLdnZvtoY,HBWLdnZvtoY,,50000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of women's T20 World Cup,https://www.youtube.com/shorts/cfcX3Q4yA0A,cfcX3Q4yA0A,,46000,0,WPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,If you could bring one player to Gujarat Titans who would it be?,https://www.youtube.com/shorts/kHaFJgM6AR8,kHaFJgM6AR8,,46000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Guess the Squad of WPL– Pt 3,https://www.youtube.com/shorts/bcMxqCCGVXs,bcMxqCCGVXs,,45000,0,WPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,India Playing X1 vs West Indies - Pt - 4,https://www.youtube.com/shorts/mlv_onzWKZI,mlv_onzWKZI,,45000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Titans | Spin & Swing,https://www.youtube.com/shorts/96eC-UQvrMs,96eC-UQvrMs,,45000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Super king | Spin & Swing,https://www.youtube.com/shorts/rFr5UHU37bI,rFr5UHU37bI,,45000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Short-form Cricket Content,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,Who is the Captain of RCB ? (Trivia),https://www.instagram.com/reel/DULh2v2jcsm/,DULh2v2jcsm,January – February 2026,45000,3013,WPL 2026,Independent Fan Coverage,Cricket Trivia & Fan Quiz,Royal Challengers Bengaluru (RCB),Yes
YouTube,@spinandswing26,Short,Guess the Squad of WPL– Pt 15,https://www.youtube.com/shorts/5zxcKgx-FHM,5zxcKgx-FHM,,44000,0,WPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,Ye kab ho gaya ??,https://www.youtube.com/shorts/1ee6_baduwI,1ee6_baduwI,,43000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Again Mumbai vs Gujarat,https://www.youtube.com/shorts/VhlBfK11aBw,VhlBfK11aBw,,40000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of T20 World Cup – Pt 18,https://www.youtube.com/shorts/GXtEM3bsDBk,GXtEM3bsDBk,,39000,0,ICC Men's T20 World Cup 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of T20 World Cup – Pt 16,https://www.youtube.com/shorts/KbmcIaQUQeA,KbmcIaQUQeA,,39000,0,ICC Men's T20 World Cup 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of RCB – Pt 3,https://www.youtube.com/shorts/8KbSW4kC-mU,8KbSW4kC-mU,,39000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Royal Challengers Bengaluru (RCB),No
YouTube,@spinandswing26,Short,Guess the jersey number - Pt -4,https://www.youtube.com/shorts/wpRe1UI89WA,wpRe1UI89WA,,38000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Which Four team Will Qualify !!,https://www.youtube.com/shorts/cFpViKYJ8tM,cFpViKYJ8tM,,38000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Titans | Part - 3 @gujarattitans,https://www.youtube.com/shorts/1fdbWK8qAKc,1fdbWK8qAKc,,38000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Indian Players ka naam batao ?,https://www.youtube.com/shorts/wJx1e6NhyKI,wJx1e6NhyKI,,37000,0,General Cricket Trivia Series,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Baat toh Sahi hai !!,https://www.youtube.com/shorts/fEBrj-Mlsqg,fEBrj-Mlsqg,,37000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,What is the current name of Kings XI Punjab ? #punjabkings #ipl2026,https://www.youtube.com/shorts/sZtsH-UNQY4,sZtsH-UNQY4,,36000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Player | Spin & Swing,https://www.youtube.com/shorts/KOpgwLXG8vU,KOpgwLXG8vU,,36000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Player Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Csk squad | Spin & Swing,https://www.youtube.com/shorts/GhuDTlitcx8,GhuDTlitcx8,,36000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Chennai Super Kings (CSK),No
YouTube,@spinandswing26,Short,Rcb fan on Csk - Pt 2,https://www.youtube.com/shorts/aUTUOyeKWPc,aUTUOyeKWPc,,35000,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,"Royal Challengers Bengaluru (RCB), Chennai Super Kings (CSK)",No
YouTube,@spinandswing26,Short,KKR Fans vs KKR fans !!,https://www.youtube.com/shorts/ThdLg8a_7JE,ThdLg8a_7JE,,35000,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,Kolkata Knight Riders (KKR),No
YouTube,@spinandswing26,Short,Do you Support GT because of Shubham Gill ?,https://www.youtube.com/shorts/rrePy30myCg,rrePy30myCg,,35000,0,IPL 2026,Independent Fan Coverage,Short-form Cricket Content,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Punjab Kings XI x Royal Rajasthan,https://www.youtube.com/shorts/xKvj4lHu_dk,xKvj4lHu_dk,,35000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Confused Virat fan 😂❤️,https://www.youtube.com/shorts/fe_9TsZriI0,fe_9TsZriI0,,35000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,Spin & Swing,No
YouTube,@spinandswing26,Short,Bhai vs Behan | Spin & Swing,https://www.youtube.com/shorts/L356npNd6E0,L356npNd6E0,,35000,0,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
